Service;Subservice;Area Of Service ;Provinsi;Kab/Kota (Edit);Clnt Id;Clnt Name;Appl Id;Request Reference;Status Simf;Channel;Freq;Freq_Pair;Bwidth;Erp Pwr Dbm;Curr Lic Num;Site Id;Stn Name;Stn Addr;Sid Lat;Sid Long;License Date ;Validity Date ;Ap Id;Tcs Id;Efl Id;Stasiun Lawan;Kab/Kota;NAMA UNIT PELAKSANA TEKNIS;BAND;15 Pita
Land Mobile (private);Standard;DESA KADOLE KEC. LAMBITU, BIMA, LAMBITU, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;BIMA;00115364;SATUAN POLISI PAMONG PRAJA KABUPATEN BIMA;038810102019;0774612;Granted;;350.025;355.025;16;36.0206;02156191-000SU/0620192024;0002;HT.01 - 40 BERGERAK DISEKITAR KECAMATAN WOHA;DESA KADOLE KEC. LAMBITU;-8.54416667;118.81138889;08/10/2019;07/10/2029;;;;;BIMA;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;JALAN SUMBAWA, BELO, PALIBELO, BELO, PALIBELO, BIMA, NUSA TENGGARA BAR. 84173, BIMA, PALIBELO, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;BIMA;00103277;LION MENTARI AIRLINES, PT.;033737112019;0823200;Granted;;152.775;152.775;16;36.9897;02216636-000SU/0620192024;0002;HT.02-04 BERGERAK SEKITAR BANDARA SULTAN SALAHUDIN;JALAN SUMBAWA, BELO, PALIBELO, BELO, PALIBELO, BIMA, NUSA TENGGARA BAR. 84173;-8.53972222;118.68722222;28/11/2019;27/11/2029;;;;;BIMA;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (private);Standard;JALAN LINTAS BIMA - SUMBAWA DESA BOLO KECAMATAN MADAPANGGA - BIMA,BIMA,MADAPANGGA,NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;BIMA;00118843;SANTOSA UTAMA LESTARI, PT.;034350102023;2830817;Granted;;150.1;150.1;16;36.9897;02762130-000SU/2620232028;0001;HT. 01 BERGERAK DISEKITAR DESA BOLO KECAMATAN MADAPANGGA;JALAN LINTAS BIMA - SUMBAWA DESA BOLO KECAMATAN MADAPANGGA - BIMA;-8.50608333;118.57336111;19/10/2023;17/10/2028;;;;;BIMA;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Aeronautical;Ground-To-Air;Kantor Cabang Pembantu Bima, BANDARA SULTAN M SALAHUDDIN,BIMA,PALIBELO,NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;BIMA;00112440;PERUM LPPNPI CABANG LOMBOK;00229072023;485/DU/SDPPI/2023;Granted;;120.3;;0;34.8397;;0001;VHF ADC PORTABLE;Kantor Cabang Pembantu Bima, BANDARA SULTAN M SALAHUDDIN;-8.53972222;118.69027778;18/07/2023;17/07/2028;;;;;BIMA;Balai Monitor SFR Kelas II Mataram;VHF;2. Penerbangan VHF (108 – 137 MHz)
Land Mobile (private);Standard;JALAN RAYA TELKOM DORONAE KECAMATAN LAMBITU, BIMA, LAMBITU, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;BIMA;00116649;DINAS KOMUNIKASI DAN INFORMATIKA KOTA BIMA;039340072020;0934508;Granted;;163.075;168.075;16;36.9897;02316152-000SU/0620202025;0003;HT. 01-40 BERGERAK DISEKITAR KELURAHAN PENATOI;JALAN RAYA TELKOM DORONAE KECAMATAN LAMBITU;-8.54358333;118.81113889;06/08/2020;05/08/2025;;;;;BIMA;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (private);Standard;JALAN LINTAS SUMBAWA - BIMA KELURAHAN BELO, BIMA, PALIBELO, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;BIMA;00115397;MERPATI ANGKASA ABADI, PT.;031042102019;0792285;Granted;;160.05;160.05;16;36.9897;02176279-000SU/0620192024;0001;HT. 01 BERGERAK SEKITAR JL. LINTAS SUMBAWA - BIMA KEL. BELO;JALAN LINTAS SUMBAWA - BIMA KELURAHAN BELO;-8.54130556;118.69277778;31/10/2019;30/10/2029;;;;;BIMA;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (private);Standard;BUKIT DORONAE-LAMBU, BIMA, LAMBITU, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;BIMA;00103494;PLN (PERSERO), PT.;034369122019;0826863;Granted;;352.05;357.05;16;36.9897;02220816-000SU/0620192024;0007;HT. 21 - 31 BERGERAK SEKITAR REP. SITE ULP BIMA KT;BUKIT DORONAE-LAMBU;-8.54429722;118.811325;08/12/2019;07/12/2029;;;;;BIMA;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;BUKIT DORONAE-LAMBU, WAWO, BIMA, NTB, BIMA, LAMBITU, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;BIMA;00103494;PLN (PERSERO), PT.;031738072019;0743107;Granted;;359.55;364.55;16;38.9897;02136988-000SU/0620192024;0004;MU. 01 - 07  BERGERAK SEKITAR JLN. SOEKARNO-HATTA;BUKIT DORONAE-LAMBU, WAWO, BIMA, NTB;-8.54429722;118.811325;30/08/2019;29/08/2029;;;;;BIMA;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;JALAN LINTAS BIMA SAPE, BIMA, LAMBITU, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;BIMA;00115018;DINAS KOMUNIKASI INFORMASI DAN STATISTIK BIMA;033452082019;0733561;Granted;;161.175;166.175;16;38.9897;02126854-000SU/0620192024;0003;MU. 01 - 02 BERGERAK DISEKITAR JALAN LINTAS BIMA SAPE;JALAN LINTAS BIMA SAPE;-8.54416667;118.81138889;06/08/2019;05/08/2029;;;;;BIMA;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (private);Standard;BUKIT DORONAE DESA LAMBITU, BIMA, LAMBITU, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;BIMA;00111851;BADAN PENANGGULANGAN BENCANA DAERAH PEMERINTAH KOTA BIMA;032298092017;0496876;Granted;;164.775;169.775;16;36.9897;01963172-000SU/0620172022;0005;HT.27 -39 BERGERAK SEKITAR WILAYAH TENGAH KOTA BIMA;BUKIT DORONAE DESA LAMBITU;-8.54441667;118.81101667;09/10/2017;07/10/2027;;;;;BIMA;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (private);Standard;JL. YOS SUDARSO, PELABUHAN PENYEBERANGAN SAPE, BIMA, SAPE, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;BIMA;00111838;ASDP INDONESIA FERRY CABANG SAPE, PT.;031947092017;0489585;Granted;;172.05;172.05;16;36.9897;01959587-000SU/0620172022;0001;HT.1 ASDP SAPE;JL. YOS SUDARSO, PELABUHAN PENYEBERANGAN SAPE;-8.57388889;119.02083333;22/09/2017;20/09/2027;;;;;BIMA;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (private);Standard;JL. SULTAN SALAHUDDIN NO.22, BIMA, PALIBELO, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;BIMA;2602;DIREKTORAT JENDERAL BEA DAN CUKAI;031216072021;1132012;Granted;;367.1;362.1;16;48.62219;02463651-000SU/2620212026;0001;BS-2. KPPBC TMP C SUMBAWA;JL. SULTAN SALAHUDDIN NO.22;-8.54105278;118.69128056;03/07/2021;02/07/2026;;;;;BIMA;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
