Service,Subservice,Area Of Service ,Provinsi,Kab/Kota (Edit),Clnt Id,Clnt Name,Appl Id,Request Reference,Status Simf,Channel,Freq,Freq_Pair,Bwidth,Erp Pwr Dbm,Curr Lic Num,Site Id,Stn Name,Stn Addr,Sid Lat,Sid Long,License Date ,Validity Date ,Ap Id,Tcs Id,Efl Id,Stasiun Lawan,Kab/Kota,NAMA UNIT PELAKSANA TEKNIS,Pita,Band,Link ID
Land Mobile (private),Standard,"JL. SULTAN SALAHUDDIN NO.22, BIMA, PALIBELO, NUSA TENGGARA BARAT",NUSA TENGGARA BARAT,BIMA,2602,DIREKTORAT JENDERAL BEA DAN CUKAI,31216072021,1132012,Granted,,367.1,362.1,16,48.62219,02463651-000SU/2620212026,1,BS-2. KPPBC TMP C SUMBAWA,JL. SULTAN SALAHUDDIN NO.22,-8.54105278,118.6912806,3-Jul-21,2-Jul-26,,,,REP. KPPBC TMP C SUMBAWA BANDARA BIMA,BIMA,Balai Monitor SFR Kelas II Mataram,"5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)",UHF,12959299
Land Mobile (private),Standard,"JALAN SOEKARNO HATTA NO. 1 KOMPLEK KANTOR BUPATI BIMA KECAMATAN WOHA,BIMA,WOHA,NUSA TENGGARA BARAT",NUSA TENGGARA BARAT,BIMA,114905,BADAN PENANGGULANGAN BENCANA DAERAH PEMERINTAH KABUPATEN BIMA,30230022024,3066029,Granted,,165.9,161.05,16,45.9794,02829898-000SU/2620242029,1,BS BPBD KABUPATEN BIMA,JALAN SOEKARNO HATTA NO. 1 KOMPLEK KANTOR BUPATI BIMA KECAMATAN WOHA,-8.56481667,118.6722222,27-Feb-24,25-Feb-29,,,,,BIMA,Balai Monitor SFR Kelas II Mataram,"3. Komrat VHF, Instansi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)",VHF,
Land Mobile (private),Standard,"JL. SULTAN MUHAMMAD SALAHUDDIN, BIMA, PALIBELO, NUSA TENGGARA BARAT",NUSA TENGGARA BARAT,BIMA,101151,BADAN NASIONAL PENCARIAN DAN PERTOLONGAN (BASARNAS),38653072020,939129,Granted,,154.25,159.25,16,45.9794,02319557-000SU/2620202025,1,BS. POS SAR BIMA,JL. SULTAN MUHAMMAD SALAHUDDIN,-8.51778889,118.6898972,15-Aug-20,14-Aug-30,,,,REP. DORONAE,BIMA,Balai Monitor SFR Kelas II Mataram,"3. Komrat VHF, Instansi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)",VHF,12129648
Land Mobile (private),Standard,"BAJO TENGAH.DS BAJO PULAU, SAPE, BIMA, NTB, BIMA, SAPE, NUSA TENGGARA BARAT",NUSA TENGGARA BARAT,BIMA,103494,"PLN (PERSERO), PT.",31675072019,745187,Granted,,359.675,364.675,16,45.9794,02139017-000SU/2620192024,16,BS. LINK SR BAJO PULAU,"BAJO TENGAH.DS BAJO PULAU, SAPE, BIMA, NTB",-8.57257222,119.0375611,5-Sep-19,4-Sep-29,,,,REP. SITE KIT BIMA,BIMA,Balai Monitor SFR Kelas II Mataram,"5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)",UHF,11410060
Land Mobile (private),Standard,"JL. LINTAS SAPE -BIMA, BIMA, SAPE, NUSA TENGGARA BARAT",NUSA TENGGARA BARAT,BIMA,103494,"PLN (PERSERO), PT.",36803012020,840741,Granted,,359.1,364.1,16,45.9794,02233948-000SU/2620202025,7,BS. GI SAPE,JL. LINTAS SAPE -BIMA,-8.57488889,118.9589667,14-Jan-20,13-Jan-30,,,,REP. DCC BIMA,BIMA,Balai Monitor SFR Kelas II Mataram,"5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)",UHF,11724603
Land Mobile (private),Standard,"BUKIT DORONAE,BIMA,LAMBITU,NUSA TENGGARA BARAT,KA'OWA",NUSA TENGGARA BARAT,BIMA,103494,"PLN (PERSERO), PT.",39917102024,3568660,Granted,,356.7,351.7,16,45.9794,02932621-000SU/2620242029,2,REP AREA BIMA (19),BUKIT DORONAE,-8.54388889,118.8116667,11-Nov-24,10-Nov-29,,,,,BIMA,Balai Monitor SFR Kelas II Mataram,"5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)",UHF,
Land Mobile (private),Standard,"JL SOEKARNO HATTA,BIMA,LAMBITU,NUSA TENGGARA BARAT,KA'OWA",NUSA TENGGARA BARAT,BIMA,103494,"PLN (PERSERO), PT.",39904102024,3568505,Granted,,356.5,351.5,25,45.9794,02932626-000SU/2620242029,2,REP ULP DOMPU (19),JL SOEKARNO HATTA,-8.54388889,118.8116667,11-Nov-24,10-Nov-29,,,,,BIMA,Balai Monitor SFR Kelas II Mataram,"5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)",UHF,
Land Mobile (private),Standard,"JL. LINTAS SUMBAWA-BIMA,PANDAI, BIMA, WOHA, NUSA TENGGARA BARAT",NUSA TENGGARA BARAT,BIMA,103494,"PLN (PERSERO), PT.",36130122019,837763,Granted,,352.45,352.45,16,45.9794,02230713-000SU/2620202024,9,BS. GI WOHA 2,"JL. LINTAS SUMBAWA-BIMA,PANDAI",-8.55519444,118.6381028,1-Jan-20,31-Dec-29,,,,BS. LINK_GI BIMA,BIMA,Balai Monitor SFR Kelas II Mataram,"5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)",UHF,11708241
Land Mobile (private),Standard,"JL. LINTAS SAMPUNGU SOROMANDI, BIMA, SOROMANDI, NUSA TENGGARA BARAT",NUSA TENGGARA BARAT,BIMA,103494,"PLN (PERSERO), PT.",33376042020,877066,Granted,,352.3,352.3,16,45.9794,02262729-000SU/2620202025,3,BS. KP_SAMPUNGU,JL. LINTAS SAMPUNGU SOROMANDI,-8.26790556,118.540825,1-Apr-20,31-Mar-30,,,,BS. LINK_SAI,BIMA,Balai Monitor SFR Kelas II Mataram,"5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)",UHF,11874201
Land Mobile (private),Standard,"JL. LINTAS KARUMBU, BIMA, LANGGUDU, NUSA TENGGARA BARAT",NUSA TENGGARA BARAT,BIMA,103494,"PLN (PERSERO), PT.",36978012020,841175,Granted,,352.275,352.275,16,45.9794,02234419-000SU/2620202025,1,BS. LINK_KP KARUMBU,JL. LINTAS KARUMBU,-8.70295556,118.8250722,15-Jan-20,14-Jan-30,,,,MU. 01 BERGERAK SEKITAR JL. LINTAS LANGGUDU,BIMA,Balai Monitor SFR Kelas II Mataram,"5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)",UHF,
Land Mobile (private),Standard,"JL. LINTAS CALABAI DS PEKAT, BIMA, SOROMANDI, NUSA TENGGARA BARAT",NUSA TENGGARA BARAT,BIMA,103494,"PLN (PERSERO), PT.",36967012020,841174,Granted,,352.25,352.25,16,45.9794,02234371-000SU/2620202025,2,BS. KP_PEKAT,JL. LINTAS CALABAI DS PEKAT,-8.3049,118.6542667,15-Jan-20,14-Jan-30,,,,BS. LINK_KADINDI,BIMA,Balai Monitor SFR Kelas II Mataram,"5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)",UHF,11726281
Land Mobile (private),Standard,"BAJO TENGAH - DS. BAJO PULAU, SAPE, BIMA, NTB, BIMA, SAPE, NUSA TENGGARA BARAT",NUSA TENGGARA BARAT,BIMA,103494,"PLN (PERSERO), PT.",31551032020,871407,Granted,,352.2,352.2,16,45.9794,02256937-000SU/2620202025,2,19.BS. SR_BAJO PULAU,"BAJO TENGAH - DS. BAJO PULAU, SAPE, BIMA, NTB",-8.57257222,119.0375611,19-Mar-20,18-Mar-30,,,,19.BS. LINK_LABUHAN BAJO,BIMA,Balai Monitor SFR Kelas II Mataram,"5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)",UHF,11849501
Land Mobile (private),Standard,"JL. LINTAS KALEO KEL. LAMBU BARAT, SAPE, BIMA, NTB, BIMA, SAPE, NUSA TENGGARA BARAT",NUSA TENGGARA BARAT,BIMA,103494,"PLN (PERSERO), PT.",31500032020,871408,Granted,,352.15,352.15,16,45.9794,02256933-000SU/2620202025,2,19.BS. ULPLTD UNIT SAPE,"JL. LINTAS KALEO KEL. LAMBU BARAT, SAPE, BIMA, NTB",-8.57055556,118.9817778,19-Mar-20,18-Mar-30,,,,19.BS. LINK_ULPLTD UNIT SAPE,BIMA,Balai Monitor SFR Kelas II Mataram,"5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)",UHF,11848553
Land Mobile (private),Standard,,NUSA TENGGARA BARAT,BIMA,103494,"PLN (PERSERO), PT.",39917102024,3568660,Granted,,351.7,356.7,16,46.9794,02932623-000SU/0620242029,3,MU.1-10 BERGERAK DI SEKITAR JLN SOEKARNO (19),BUKIT DORONAE,-8.54388889,118.8116667,11-Nov-24,10-Nov-29,,,,,BIMA,Balai Monitor SFR Kelas II Mataram,"5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)",UHF,
Land Mobile (private),Standard,,NUSA TENGGARA BARAT,BIMA,103494,"PLN (PERSERO), PT.",39904102024,3568505,Granted,,351.5,356.5,25,46.9794,02932627-000SU/0620242029,3,MU.1-10 BERGERAK DI SEKITAR ULP DOMPU (19),JL SOEKARNO HATTA,-8.54388889,118.8116667,11-Nov-24,10-Nov-29,,,,,BIMA,Balai Monitor SFR Kelas II Mataram,"5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)",UHF,
Land Mobile (private),Standard,,NUSA TENGGARA BARAT,BIMA,103494,"PLN (PERSERO), PT.",39723102024,3566228,Granted,,351.4,356.4,16,46.9794,02938406-000SU/0620242029,3,MU.1-09 BERGERAK DI SEKITAR ULP WOHA (19),DESA LAMBITU HATTA,-8.54388889,118.8116667,11-Nov-24,10-Nov-29,,,,,BIMA,Balai Monitor SFR Kelas II Mataram,"5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)",UHF,
Land Mobile (private),Standard,"BUKIT DORONAE,BIMA,LAMBITU,NUSA TENGGARA BARAT,KA'OWA",NUSA TENGGARA BARAT,BIMA,103494,"PLN (PERSERO), PT.",39753102024,3566613,Granted,,351.175,356.175,25,45.9794,02932630-000SU/2620242029,1,BS ULP SAPE (19),BUKIT DORONAE,-8.54388889,118.8116667,11-Nov-24,10-Nov-29,,,,,BIMA,Balai Monitor SFR Kelas II Mataram,"5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)",UHF,
Land Mobile (private),Standard,"JLN. LINTAS KALEO KEL. LAMBU BARAT, BIMA, SAPE, NUSA TENGGARA BARAT",NUSA TENGGARA BARAT,BIMA,103494,"PLN (PERSERO), PT.",34519122019,830204,Granted,,351.1,356.1,16,45.9794,02225075-000SU/2620192024,6,BS. ULPLTD_UNIT SAPE,JLN. LINTAS KALEO KEL. LAMBU BARAT,-8.57058333,118.9817778,16-Dec-19,15-Dec-29,,,,REP. SITE_KIT BIMA,BIMA,Balai Monitor SFR Kelas II Mataram,"5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)",UHF,11675498
Broadcast,FM,KOTA BIMA,NUSA TENGGARA BARAT,BIMA,103577,"RADIO PELANGI CITRA NUANSA BIMA, PT",19045042023,1824531,Granted,,103.2,,300,57.6228,02693415-000SU/2020232028,1,RADIO PELANGI CITRA NUANSA BIMA,JALAN GAJAH MADA NO. 29 BTN PENATOI,-8.47722222,118.9144444,26-Apr-23,25-Apr-28,,,,,BIMA,Balai Monitor SFR Kelas II Mataram,"1. Radio FM, DRM  (87 – 108 MHz)",VHF,
Land Mobile (private),Standard,"JL. SULTAN SALAHUDDIN NO.22, BIMA, PALIBELO, NUSA TENGGARA BARAT",NUSA TENGGARA BARAT,BIMA,2602,DIREKTORAT JENDERAL BEA DAN CUKAI,31216072021,1132012,Granted,,362.1,367.1,12.5,56.44068,02463652-000SU/2620212026,2,REP. KPPBC TMP C SUMBAWA BANDARA BIMA,JL. SULTAN SALAHUDDIN NO.22,-8.54105278,118.6912806,3-Jul-21,2-Jul-26,,,,HT.1-40 KPPBC TMP C SUMBAWA BANDARA BIMA,BIMA,Balai Monitor SFR Kelas II Mataram,"5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)",UHF,
Land Mobile (private),Standard,"BUKIT DORONAE DESA LAMBITU, BIMA, LAMBITU, NUSA TENGGARA BARAT",NUSA TENGGARA BARAT,BIMA,111851,BADAN PENANGGULANGAN BENCANA DAERAH PEMERINTAH KOTA BIMA,32298092017,496876,Granted,,169.775,164.775,16,48.0206,01963175-000SU/2620172022,2,REP. BPBD KOTA BIMA DORONAE,BUKIT DORONAE DESA LAMBITU,-8.54441667,118.8110167,9-Oct-17,7-Oct-27,,,,HT. 01-13 BERGERAK SEKITAR KEC RASANAE TIMUR,BIMA,Balai Monitor SFR Kelas II Mataram,"3. Komrat VHF, Instansi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)",VHF,
Land Mobile (private),Standard,"JALAN RAYA TELKOM DORONAE KECAMATAN LAMBITU, BIMA, LAMBITU, NUSA TENGGARA BARAT",NUSA TENGGARA BARAT,BIMA,116649,DINAS KOMUNIKASI DAN INFORMATIKA KOTA BIMA,39340072020,934508,Granted,,168.075,163.075,16,48.0206,02316151-000SU/2620202025,2,REP. KOMINFO KOTA BIMA,JALAN RAYA TELKOM DORONAE KECAMATAN LAMBITU,-8.54358333,118.8111389,6-Aug-20,5-Aug-30,,,,BS. KOMINFO KOTA BIMA,BIMA,Balai Monitor SFR Kelas II Mataram,"3. Komrat VHF, Instansi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)",VHF,
