No;UPT;Jenis Stasiun Monitor;Tanggal;Waktu;Band;Pita Frekuensi;Frekuensi;Dinas;Sub Service;Kelas Emisi;Kelas Stasiun;Azimuth;Level;Identifikasi;Legalitas;Keterangan;Provinsi;Kab/Kota;Kecamatan;Kel/Desa;Lat;Long;No SPT;Tgl Input;Catatan
1;Balai Monitor Kelas II Mataram;Transportable;2025-06-11;02:06:00;UHF;15. Selular, Broadband 2.3 GHz (2300 – 2400 MHz);2372.4;Land Mobile (public);LTE;;;;72.56;SMARTFREN TELECOM, TBK. PT;CLEAR;;NUSA TENGGARA BARAT;LOMBOK TENGAH;PRAYA;PRAYA;-8.70785;116.274;95/Balmon.52/KP.01.06/06/2025;2025-06-11;Monitoring Bulan Juni 2025
2;Balai Monitor Kelas II Mataram;Transportable;2025-06-11;02:06:00;UHF;15. Selular, Broadband 2.3 GHz (2300 – 2400 MHz);2317.5;Land Mobile (public);LTE;;;;74.29;TELEKOMUNIKASI SELULAR, PT.;CLEAR;;NUSA TENGGARA BARAT;LOMBOK TENGAH;PRAYA;PRAYA;-8.70785;116.274;95/Balmon.52/KP.01.06/06/2025;2025-06-11;Monitoring Bulan Juni 2025
3;Balai Monitor Kelas II Mataram;Transportable;2025-06-11;02:06:00;UHF;14. IMT (2170 - 2200 MHz);2185.8;Other Services;-;;;;74;Noise Floor;CLEAR;;NUSA TENGGARA BARAT;LOMBOK TENGAH;PRAYA;PRAYA;-8.70785;116.274;95/Balmon.52/KP.01.06/06/2025;2025-06-11;Monitoring Bulan Juni 2025
4;Balai Monitor Kelas II Mataram;Transportable;2025-06-11;02:06:00;UHF;13. Downlink Seluler 2100 (2110 – 2170 MHz);2143.5;Land Mobile (public);UMTS;G7W;MO;;77.27;XL AXIATA, Tbk;BERIZIN;;NUSA TENGGARA BARAT;LOMBOK TENGAH;PRAYA;PRAYA;-8.70785;116.274;95/Balmon.52/KP.01.06/06/2025;2025-06-11;Monitoring Bulan Juni 2025
5;Balai Monitor Kelas II Mataram;Transportable;2025-06-11;02:06:00;UHF;12. Downlink Seluler 1800 (1805 – 1880 MHz);1817.4;Land Mobile (public);LTE;G7W;MO;;83.21;XL AXIATA, Tbk;BERIZIN;;NUSA TENGGARA BARAT;LOMBOK TENGAH;PRAYA;PRAYA;-8.70785;116.274;95/Balmon.52/KP.01.06/06/2025;2025-06-11;Monitoring Bulan Juni 2025
6;Balai Monitor Kelas II Mataram;Transportable;2025-06-11;02:06:00;UHF;11. IMT (1427 - 1518 MHz);1471.9;Other Services;-;;;;65.87;Noise Floor;CLEAR;;NUSA TENGGARA BARAT;LOMBOK TENGAH;PRAYA;PRAYA;-8.70785;116.274;95/Balmon.52/KP.01.06/06/2025;2025-06-11;Monitoring Bulan Juni 2025
7;Balai Monitor Kelas II Mataram;Transportable;2025-06-11;02:06:00;UHF;10. Downlink Seluler 900 (925 – 960 MHz);957.1;Land Mobile (public);GSM;G7W;MO;;78.84;XL AXIATA, Tbk;BERIZIN;;NUSA TENGGARA BARAT;LOMBOK TENGAH;PRAYA;PRAYA;-8.70785;116.274;95/Balmon.52/KP.01.06/06/2025;2025-06-11;Monitoring Bulan Juni 2025
8;Balai Monitor Kelas II Mataram;Transportable;2025-06-11;02:06:00;UHF;10. Downlink Seluler 900 (925 – 960 MHz);945.3;Land Mobile (public);LTE;G7F;MO;;66.65;INDOSAT OOREDOO HUTCHINSON;BERIZIN;;NUSA TENGGARA BARAT;LOMBOK TENGAH;PRAYA;PRAYA;-8.70785;116.274;95/Balmon.52/KP.01.06/06/2025;2025-06-11;Monitoring Bulan Juni 2025
9;Balai Monitor Kelas II Mataram;Transportable;2025-06-11;02:06:00;UHF;10. Downlink Seluler 900 (925 – 960 MHz);937.3;Land Mobile (public);GSM;G7W;MO;;74.46;TELEKOMUNIKASI SELULAR, PT.;BERIZIN;;NUSA TENGGARA BARAT;LOMBOK TENGAH;PRAYA;PRAYA;-8.70785;116.274;95/Balmon.52/KP.01.06/06/2025;2025-06-11;Monitoring Bulan Juni 2025
10;Balai Monitor Kelas II Mataram;Transportable;2025-06-11;02:06:00;UHF;10. Downlink Seluler 900 (925 – 960 MHz);935.8;Land Mobile (public);GSM;G7W;MO;;77.24;TELEKOMUNIKASI SELULAR, PT.;BERIZIN;;NUSA TENGGARA BARAT;LOMBOK TENGAH;PRAYA;PRAYA;-8.70785;116.274;95/Balmon.52/KP.01.06/06/2025;2025-06-11;Monitoring Bulan Juni 2025
